Name_of_Covered_Entity,State,Covered_Entity_Type,Individuals_Affected,Breach_Submission_Date,Breach_Date,Type_of_Breach,Location_of_Breached_Information,Status,Year,Days_to_Report
National Rehabilitation Center,IL,Healthcare Provider,500,11/21/2025,06/28/2025,Unauthorized Access/Disclosure,Network Server,Archived,2025,146
Atlantic Physicians Group,MO,Healthcare Provider,1477,10/08/2025,04/20/2025,Unauthorized Access/Disclosure,Network Server,Archived,2025,171
Beacon Pharmacy,SD,Healthcare Provider,4260,05/05/2026,12/05/2025,Hacking/IT Incident,Electronic Medical Record,Archived,2025,151
Lakeside Medical Center,DC,Healthcare Provider,500,08/18/2025,04/24/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,116
Pinnacle Mental Health Services,ND,Healthcare Provider,2128,06/14/2026,12/17/2025,Hacking/IT Incident,Email,Archived,2025,179
Central Health System,WY,Healthcare Provider,13954,01/03/2026,10/20/2025,Hacking/IT Incident,Paper/Films,Under Investigation,2025,75
Aetna Health Plan,NC,Health Plan,107194,07/21/2025,03/29/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,114
Advanced Healthcare,RI,Healthcare Provider,500,10/15/2025,07/29/2025,Hacking/IT Incident,Desktop Computer,Archived,2025,78
National Eye Care,DE,Healthcare Provider,5543,10/26/2025,07/01/2025,Hacking/IT Incident,Network Server,Archived,2025,117
Sacred Heart Surgical Center,UT,Healthcare Provider,979,08/11/2025,06/07/2025,Unauthorized Access/Disclosure,Paper/Films,Archived,2025,65
SecureHealth Corp,AR,Business Associate,500,11/15/2025,08/04/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,103
Guardian Rehabilitation Center,MN,Healthcare Provider,500,05/02/2026,12/28/2025,Hacking/IT Incident,Email,Archived,2025,125
BlueCross BlueShield of MN,MN,Health Plan,3790,04/02/2025,01/30/2025,Hacking/IT Incident,Other,Archived,2025,62
Legacy Rehabilitation Center,TX,Healthcare Provider,70089,04/19/2026,10/22/2025,Hacking/IT Incident,Network Server,Archived,2025,179
SecureHealth Corp,AK,Business Associate,1548,10/21/2025,07/10/2025,Hacking/IT Incident,Paper/Films,Under Investigation,2025,103
Good Samaritan Hospital,RI,Healthcare Provider,771,02/18/2026,11/29/2025,Hacking/IT Incident,Desktop Computer,Archived,2025,81
Integrated Medical Center,DC,Healthcare Provider,8697,11/28/2025,09/21/2025,Hacking/IT Incident,Laptop,Under Investigation,2025,68
Heritage Home Health,NH,Healthcare Provider,500,02/06/2026,09/20/2025,Unauthorized Access/Disclosure,Network Server,Under Investigation,2025,139
Providence Pharmacy,AR,Healthcare Provider,1889,10/07/2025,09/02/2025,Unauthorized Access/Disclosure,Network Server,Under Investigation,2025,35
Wellspring Health System,OH,Healthcare Provider,3739,06/19/2025,02/19/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,120
Pinnacle Health Services,RI,Healthcare Provider,7077,01/27/2026,09/24/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,125
Legacy Healthcare,NJ,Healthcare Provider,706,05/14/2026,12/18/2025,Theft,Other,Under Investigation,2025,147
Central Eye Care,AZ,Healthcare Provider,500,01/25/2026,09/07/2025,Theft,Email,Archived,2025,140
Kaiser Foundation,DC,Health Plan,4527,04/16/2026,12/13/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,124
MedData Services,CO,Business Associate,14136,07/14/2025,02/17/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,147
Valley Surgical Center,IA,Healthcare Provider,2594,12/15/2025,11/02/2025,Hacking/IT Incident,Electronic Medical Record,Under Investigation,2025,43
Regional Physicians Group,MN,Healthcare Provider,14242,07/13/2025,05/28/2025,Hacking/IT Incident,Network Server,Archived,2025,46
Trinity Family Practice,CT,Healthcare Provider,23247,04/14/2026,11/21/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,144
Pacific Healthcare,NM,Healthcare Provider,84115,02/08/2026,09/21/2025,Hacking/IT Incident,Laptop,Archived,2025,140
Kaiser Foundation,WY,Health Plan,2462,11/24/2025,08/30/2025,Hacking/IT Incident,Paper/Films,Archived,2025,86
United Surgical Center,MT,Healthcare Provider,741,08/08/2025,07/11/2025,Hacking/IT Incident,Email,Archived,2025,28
SecureHealth Corp,IL,Business Associate,50810,10/15/2025,05/31/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,137
Guardian Health Services,AL,Healthcare Provider,3178,06/21/2025,05/15/2025,Hacking/IT Incident,Electronic Medical Record,Archived,2025,37
NovaCare Systems,NV,Business Associate,7836,04/16/2025,03/22/2025,Hacking/IT Incident,Network Server,Archived,2025,25
Valley Medical Center,WI,Healthcare Provider,2062,12/31/2025,08/14/2025,Unauthorized Access/Disclosure,Laptop,Archived,2025,139
National Hospital,SD,Healthcare Provider,638,04/16/2025,03/04/2025,Hacking/IT Incident,Laptop,Under Investigation,2025,43
Mountain Urgent Care,AK,Healthcare Provider,500,11/13/2025,06/21/2025,Hacking/IT Incident,Electronic Medical Record,Archived,2025,145
Good Samaritan Urgent Care,AR,Healthcare Provider,39120,11/27/2025,08/12/2025,Hacking/IT Incident,Email,Archived,2025,107
Premier Home Health,WI,Healthcare Provider,145976,03/01/2026,09/27/2025,Hacking/IT Incident,Electronic Medical Record,Archived,2025,155
Sacred Heart Health System,OH,Healthcare Provider,36880,06/06/2026,12/25/2025,Hacking/IT Incident,Other,Under Investigation,2025,163
Providence Health Network,VA,Healthcare Provider,1458,12/24/2025,07/12/2025,Unauthorized Access/Disclosure,Network Server,Under Investigation,2025,165
Alliance Home Health,KY,Healthcare Provider,3127,07/29/2025,03/10/2025,Unauthorized Access/Disclosure,Email,Archived,2025,141
Integrated Surgical Center,VA,Healthcare Provider,512,04/04/2025,03/16/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,19
Summit Medical Center,VT,Healthcare Provider,3046,06/22/2025,05/14/2025,Hacking/IT Incident,Other,Under Investigation,2025,39
Sacred Heart Rehabilitation Center,NE,Healthcare Provider,35179,07/31/2025,04/21/2025,Hacking/IT Incident,Network Server,Archived,2025,101
Good Samaritan Healthcare Clearinghouse,KS,Healthcare Clearinghouse,1907,01/21/2026,12/19/2025,Unauthorized Access/Disclosure,Other Portable Electronic Device,Archived,2025,33
Molina Healthcare of AZ,AZ,Health Plan,808,04/30/2025,01/28/2025,Loss,Email,Archived,2025,92
Atlantic Surgical Center,GA,Healthcare Provider,19496,12/17/2025,07/30/2025,Hacking/IT Incident,Network Server,Archived,2025,140
Advanced Health Plan,WV,Healthcare Provider,1348,04/10/2026,10/13/2025,Improper Disposal,Network Server,Under Investigation,2025,179
Liberty Medical Center,RI,Healthcare Provider,1168,03/16/2025,01/16/2025,Hacking/IT Incident,Electronic Medical Record,Archived,2025,59
Riverside Family Practice,WI,Healthcare Provider,1733,07/17/2025,05/08/2025,Hacking/IT Incident,Laptop,Archived,2025,70
RxTech Solutions,VT,Business Associate,15844,09/15/2025,07/21/2025,Unauthorized Access/Disclosure,Email,Archived,2025,56
Community Healthcare,OH,Healthcare Provider,500,09/09/2025,03/14/2025,Hacking/IT Incident,Email,Under Investigation,2025,179
VitalConnect Inc,IA,Business Associate,3671,04/10/2026,12/29/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,102
Good Samaritan Health Network,ND,Healthcare Provider,53486,06/20/2025,05/21/2025,Hacking/IT Incident,Network Server,Archived,2025,30
Premier Urgent Care,MO,Healthcare Provider,111137,09/16/2025,07/20/2025,Hacking/IT Incident,Network Server,Archived,2025,58
Heritage Eye Care,WY,Healthcare Provider,4042,01/21/2026,09/17/2025,Hacking/IT Incident,Electronic Medical Record,Archived,2025,126
Atlantic Health System,WV,Healthcare Provider,3932,05/03/2025,03/04/2025,Hacking/IT Incident,Electronic Medical Record,Archived,2025,60
Liberty Health Network,NJ,Healthcare Provider,2636,12/10/2025,11/23/2025,Unauthorized Access/Disclosure,Paper/Films,Under Investigation,2025,17
Atlantic Healthcare Clearinghouse,MD,Healthcare Clearinghouse,592,01/06/2026,08/15/2025,Hacking/IT Incident,Other,Under Investigation,2025,144
Trinity Health System,MN,Healthcare Provider,2150,10/31/2025,08/04/2025,Hacking/IT Incident,Desktop Computer,Archived,2025,88
Atlantic Medical Group,MO,Healthcare Provider,679,03/29/2026,11/04/2025,Hacking/IT Incident,Electronic Medical Record,Archived,2025,145
Heritage Urgent Care,RI,Healthcare Provider,24438,01/27/2026,09/14/2025,Hacking/IT Incident,Other,Archived,2025,135
Integrated Surgical Center,DE,Healthcare Provider,5030,09/02/2025,05/27/2025,Hacking/IT Incident,Email,Under Investigation,2025,98
CloudMed Solutions,AL,Business Associate,3335,07/11/2025,03/30/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,103
WellCare Health Plans,CA,Health Plan,887,04/10/2026,12/21/2025,Hacking/IT Incident,Laptop,Archived,2025,110
Riverside Dental Group,NE,Healthcare Provider,14236,06/08/2025,04/29/2025,Hacking/IT Incident,Network Server,Archived,2025,40
Legacy Healthcare Clearinghouse,MI,Healthcare Clearinghouse,500,03/09/2025,01/02/2025,Hacking/IT Incident,Other,Archived,2025,66
Mercy Mental Health Services,ME,Healthcare Provider,45701,07/02/2025,05/20/2025,Hacking/IT Incident,Email,Under Investigation,2025,43
Atlantic Home Health,WA,Healthcare Provider,5402,01/15/2026,11/10/2025,Hacking/IT Incident,Network Server,Archived,2025,66
Kaiser Foundation,MI,Health Plan,3001,03/07/2026,09/25/2025,Hacking/IT Incident,Other Portable Electronic Device,Archived,2025,163
Kaiser Foundation,TN,Health Plan,79754,08/28/2025,06/28/2025,Hacking/IT Incident,Paper/Films,Under Investigation,2025,61
PrimeHealth Analytics,MA,Business Associate,8720,02/04/2026,09/03/2025,Hacking/IT Incident,Network Server,Archived,2025,154
MedData Services,ID,Business Associate,1203,12/11/2025,09/22/2025,Hacking/IT Incident,Network Server,Archived,2025,80
Riverside Dental Group,MI,Healthcare Provider,15788,07/02/2025,01/30/2025,Hacking/IT Incident,Network Server,Archived,2025,153
United Eye Care,CT,Healthcare Provider,7169,11/30/2025,07/26/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,127
Liberty Clinical Associates,NE,Healthcare Provider,500,12/04/2025,11/08/2025,Theft,Email,Under Investigation,2025,26
Lakeside Mental Health Services,IN,Healthcare Provider,1435,04/11/2026,12/09/2025,Hacking/IT Incident,Electronic Medical Record,Archived,2025,123
Wellspring Pharmacy,OH,Healthcare Provider,45359,11/15/2025,09/13/2025,Hacking/IT Incident,Email,Archived,2025,63
Regional Mental Health Services,WI,Healthcare Provider,4324,04/21/2025,02/11/2025,Hacking/IT Incident,Network Server,Archived,2025,69
Riverside Mental Health Services,IA,Healthcare Provider,500,09/30/2025,04/15/2025,Hacking/IT Incident,Email,Archived,2025,168
Premier Home Health,DE,Healthcare Provider,9163,09/19/2025,04/27/2025,Hacking/IT Incident,Paper/Films,Archived,2025,145
Good Samaritan Surgical Center,DE,Healthcare Provider,640,05/27/2026,12/18/2025,Hacking/IT Incident,Other Portable Electronic Device,Under Investigation,2025,160
Cigna Healthcare,AK,Health Plan,2820,10/29/2025,06/08/2025,Hacking/IT Incident,Email,Archived,2025,143
Alliance Healthcare Clearinghouse,MD,Healthcare Clearinghouse,4806,08/28/2025,06/14/2025,Hacking/IT Incident,Network Server,Archived,2025,75
American Family Practice,MI,Healthcare Provider,6951,10/12/2025,08/22/2025,Unauthorized Access/Disclosure,Network Server,Archived,2025,51
MedBridge Analytics,CA,Business Associate,191276,07/18/2025,05/04/2025,Hacking/IT Incident,Network Server,Archived,2025,75
American Health Network,DE,Healthcare Provider,500,01/21/2026,08/03/2025,Hacking/IT Incident,Email,Archived,2025,171
NovaCare Systems,LA,Business Associate,103888,09/17/2025,07/03/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,76
National Hospital,CA,Healthcare Provider,56393,04/14/2025,03/21/2025,Hacking/IT Incident,Desktop Computer,Archived,2025,24
MedBridge Analytics,MT,Business Associate,500,12/29/2025,10/19/2025,Unauthorized Access/Disclosure,Desktop Computer,Archived,2025,71
Valley Family Practice,NC,Healthcare Provider,8500,08/23/2025,06/23/2025,Hacking/IT Incident,Email,Under Investigation,2025,61
WellCare Health Plans,NE,Health Plan,3244,09/29/2025,04/08/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,174
Pinnacle Dental Group,IL,Healthcare Provider,60084,05/15/2025,04/17/2025,Hacking/IT Incident,Email,Archived,2025,28
American Physicians Group,CA,Healthcare Provider,800759,02/20/2026,11/03/2025,Hacking/IT Incident,Network Server,Archived,2025,109
Mountain Health System,AR,Healthcare Provider,500,06/24/2025,05/30/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,25
Lakeside Pharmacy,CO,Healthcare Provider,5812,11/20/2025,09/29/2025,Hacking/IT Incident,Other,Archived,2025,52
Memorial Medical Group,TN,Healthcare Provider,500,08/02/2025,03/11/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,144
HealthBridge IT Services,NM,Business Associate,500,10/05/2025,06/14/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,113
United Surgical Center,MS,Healthcare Provider,81703,10/16/2025,05/15/2025,Hacking/IT Incident,Other Portable Electronic Device,Archived,2025,154
Pacific Urgent Care,HI,Healthcare Provider,13694,10/01/2025,06/30/2025,Hacking/IT Incident,Other Portable Electronic Device,Archived,2025,93
Alliance Mental Health Services,MN,Healthcare Provider,178015,11/03/2025,06/06/2025,Hacking/IT Incident,Network Server,Archived,2025,150
Good Samaritan Mental Health Services,WI,Healthcare Provider,3205,08/05/2025,07/20/2025,Unauthorized Access/Disclosure,Network Server,Under Investigation,2025,16
Advanced Mental Health Services,NH,Healthcare Provider,66315,07/19/2025,06/21/2025,Hacking/IT Incident,Network Server,Archived,2025,28
Kaiser Foundation,AL,Health Plan,3032,12/03/2025,11/13/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,20
Valley Family Practice,TN,Healthcare Provider,500,02/09/2026,09/01/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,161
Central Health Network,MI,Healthcare Provider,1103,02/28/2026,12/27/2025,Hacking/IT Incident,Other Portable Electronic Device,Archived,2025,63
Trinity Medical Group,VT,Healthcare Provider,1386,10/09/2025,05/20/2025,Hacking/IT Incident,Electronic Medical Record,Under Investigation,2025,142
Lakeside Health Plan,VT,Healthcare Provider,13554,07/12/2025,03/08/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,126
Mercy Healthcare,KS,Healthcare Provider,500,05/24/2025,05/08/2025,Other,Network Server,Under Investigation,2025,16
Pacific Home Health,WA,Healthcare Provider,29244,07/20/2025,04/17/2025,Hacking/IT Incident,Email,Archived,2025,94
Community Surgical Center,KS,Healthcare Provider,500,02/02/2026,10/10/2025,Theft,Network Server,Archived,2025,115
Beacon Rehabilitation Center,CO,Healthcare Provider,500,03/05/2026,12/25/2025,Unauthorized Access/Disclosure,Network Server,Under Investigation,2025,70
Horizon Healthcare Clearinghouse,AK,Healthcare Clearinghouse,500,05/20/2026,12/17/2025,Hacking/IT Incident,Network Server,Archived,2025,154
Molina Healthcare of MS,MS,Health Plan,17677,12/26/2025,11/14/2025,Unauthorized Access/Disclosure,Network Server,Under Investigation,2025,42
Horizon Clinical Associates,IL,Healthcare Provider,57289,08/24/2025,06/01/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,84
Advanced Family Practice,NM,Healthcare Provider,500,11/14/2025,07/22/2025,Unauthorized Access/Disclosure,Network Server,Archived,2025,115
MedData Services,NV,Business Associate,162848,09/12/2025,04/23/2025,Hacking/IT Incident,Email,Under Investigation,2025,142
Lakeside Health Plan,WY,Healthcare Provider,3139,06/09/2025,03/28/2025,Unauthorized Access/Disclosure,Email,Archived,2025,73
Valley Home Health,WI,Healthcare Provider,3071,10/30/2025,08/08/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,83
National Rehabilitation Center,KS,Healthcare Provider,8879,10/04/2025,07/26/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,70
Valley Eye Care,GA,Healthcare Provider,1133,04/15/2025,02/09/2025,Unauthorized Access/Disclosure,Network Server,Archived,2025,65
VitalConnect Inc,NE,Business Associate,500,10/16/2025,06/07/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,131
United Pharmacy,DE,Healthcare Provider,5518,12/26/2025,09/05/2025,Hacking/IT Incident,Network Server,Archived,2025,112
Pinnacle Urgent Care,NH,Healthcare Provider,1978,02/08/2026,12/05/2025,Hacking/IT Incident,Email,Archived,2025,65
United Healthcare,NE,Healthcare Provider,1709,09/28/2025,04/10/2025,Hacking/IT Incident,Network Server,Under Investigation,2025,171
Sacred Heart Clinical Associates,TN,Healthcare Provider,5174,09/01/2025,07/17/2025,Hacking/IT Incident,Network Server,Archived,2025,46
Lakeside Family Practice,MT,Healthcare Provider,5344,09/23/2025,06/20/2025,Hacking/IT Incident,Other Portable Electronic Device,Archived,2025,95
Central Eye Care,OK,Healthcare Provider,10596,12/26/2025,10/08/2025,Hacking/IT Incident,Desktop Computer,Under Investigation,2025,79
Harmony Rehabilitation Center,TN,Healthcare Provider,4131,09/06/2025,06/05/2025,Unauthorized Access/Disclosure,Network Server,Under Investigation,2025,93
MedData Services,OH,Business Associate,829,09/25/2025,05/22/2025,Hacking/IT Incident,Network Server,Archived,2025,126
University Urgent Care,MO,Healthcare Provider,1472,06/26/2025,01/04/2025,Hacking/IT Incident,Network Server,Archived,2025,173
Valley Clinical Associates,SC,Healthcare Provider,1749,08/06/2025,06/26/2025,Hacking/IT Incident,Electronic Medical Record,Under Investigation,2025,41
ClinicalPath Software,LA,Business Associate,779,02/21/2026,10/05/2025,Hacking/IT Incident,Desktop Computer,Under Investigation,2025,139
Wellspring Home Health,TN,Healthcare Provider,1371,10/19/2025,09/22/2025,Unauthorized Access/Disclosure,Network Server,Archived,2025,27
